Date,District,Header,Story,Source,Attack,latitude,longitude,Propaganda,Structural Discrimination,Material Damage,Reported status
2020-10-16,Tempelhof-Schöneberg,LGBTIQ*feindliche Angriff in der Froberstr. ,"Gegen 0.30 Uhr wird eine 41-jährige Transperson in der Bülow- Ecke Frobenstraße aus einem Auto heraus, das mit vier Personen besetzt ist, mit einem Abschlepphaken beworfen. Die Transperson wird außerdem mit einem Pflasterstein beworfen und am Rücken getroffen.","ReachOut Berlin, Polizei Berlin, 16.10.2020 queer.de, 16.10.2020",physical,52.4994474,13.3598819,Unknown,Unknown,Unknown,Unknown
2020-07-15,Friedrichshain-Kreuzberg,Lokalgäste in der Adalbertraße mit Küchenmesser beworfen,Gegen 21.30 Uhr werden Gäste in einem Lokal in der Adalbertstraße aus LGBTIQ*feindlicher Motivation mit einem Küchenmesser beworfen.,Reachout Berlin,physical,52.5051675,13.4220289,Unknown,Unknown,Unknown,Unknown
2020-06-27,Mitte,LGBTIQ*feindlicher Angriff am Christopher Street Day in Mitte,Im Verlauf der alternativen Christopher Street Day Parade wird ein 25-jähriger Mann auf der Straße Unter den Linden von einer Frau aus LGBTIQ*feindlicher Motivation beleidigt und mit einer Gehhilfe geschlagen.,"ReachOut, Tagesspiegel vom 28.06.2020",physical,52.5166058,13.3805624,Unknown,Unknown,Unknown,Unknown
2020-06-19,Neukölln,LGBTIQ*-feindlicher Angriff in Nordneukölln,Zwei Männer im Alter von 28 und 34 Jahren wurden gegen 22.00 Uhr in der Weserstraße von vier unbekannten Männern aus LGBTIQ*-feindlicher Motivation beleidigt und von zwei Männern ins Gesicht geschlagen.,ReachOut Berlin,physical,52.4774146,13.452962,Unknown,Unknown,Unknown,Unknown
2020-06-15,Tempelhof-Schöneberg,LGBTIQ*feindliche Angriff,"Eine unbekannte Transperson wird gegen 0.15 Uhr in der Bülowstraße von einem 17-jährigen Jugendlichen aus LGBTIQ*feindlicher Motivation mit einem Gegenstand beworfen.
Polizei Berlin, 29.07.2020",ReachOut Berlin,physical,52.498755,13.3569727,Unknown,Unknown,Unknown,Unknown
2020-05-31,Neukölln,LGBTIQ*-feindlicher Angriff in Nordneukölln,Am Sonntagabend wurden zwei Personen in der Flughafenstr. zuerst LGBTIQ*-feindlich beleidigt und anschließend geschlagen. Die beiden erstatteten Anzeige.,"Register Neukölln, rbb24",physical,52.4804633,13.4223891,Unknown,Unknown,Unknown,Unknown
2020-05-11,Tempelhof-Schöneberg,LGBTIQ*feindliche Angriff,"Gegen 0.30 Uhr fährt eine 25-jährige Frau mit dem Fahrrad auf der Straße An der Urania an einer Gruppe von Männern vorbei. Die 25-Jährige wird von einem Mann aus der Gruppe aus LGBTIQ*feindlicher Motivation vom Fahrrad gezogen und bespuckt.
Polizei Berlin, 29.07.2020",ReachOut Berlin,physical,52.5006996,13.3476836,Unknown,Unknown,Unknown,Unknown
2020-05-01,Neukölln,LGBTIQ*-feindlicher Angriff in Nordneukölln,Ein 33-jähriger Mann wird gegen 15.45 Uhr in der Hermannstraße von einem unbekannten Mann aus LGBTIQ*feindlicher Motivation beleidigt und auf die Straße gestoßen. Der Unbekannte versucht das Handy des 33-Jährigen zu rauben.,ReachOut Berlin,physical,52.4637162,13.4335736,Unknown,Unknown,Unknown,Unknown
2020-02-22,Friedrichshain-Kreuzberg,Frau am Mehringplatz aus LGBTIQ*-Feindlichkeit beleidigt und geschlagen,"Um 21 Uhr soll eine 28-jährige Transfrau am Mehringplatz von einem bisher unbekannten Tatverdächtigen beleidigt und bespuckt worden sein. Im weiten Verlauf soll der Angreifer der Frau gegen den Kopf geschlagen haben. Ein Zeuge, der die Auseinandersetzung mitbekam, konnte den Übergriff beenden. Der Angreifer flüchtete daraufhin und konnte unerkannt entkommen. Die Transfrau wurde nicht verletzt.",ReachOut Berlin; https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.898301.php ,physical,52.49890495,13.391776599059298,Unknown,Unknown,Unknown,Unknown
2021-05-29,Neukölln,LGBTIQ*-feindlicher Angriff auf der Sonnenallee,"Zwei Männer wurden von einer Gruppe Jugendlicher nach einem Streitgespräch LGTBIQ*-feindlich beledigt.
Nachdem die beiden beleidigt worden waren, entblößte einer aus der Gruppe Jugendlicher seinen Genitalbereich. Anschließend wurden beide Männer mit Schlägen gegen den Kopf attackiert und dabei verletzt.","Register Neukölln, Polizeimeldung Nr. 1173",physical,52.468523,13.4674212,Unknown,Unknown,Unknown,Unknown
2021-01-07,Mitte,Homophobe Beleidigung und Bedrohung im U-Bahnhof Seestraße,"Im U-Bahnhof Seestraße wurde gegen 8.20 Uhr ein Mann von einem alkoholisierten Mann mehrfach homophob beleidigt und bedroht. Der Betrunkene lief dem Betroffenen, während er ihn beleidigte, hinterher, drohte ihm Schläge an und schrie minutenlang, dass sei seine U-Bahn-Station, ""Schwuchteln"" hätten hier nichts zu suchen. Von zahlreichen anwesenden Passant*innen griff niemand ein, kam auch verbal niemand dem Betroffenen zu Hilfe.","Registerstelle Mitte, Twitter",verbal,52.5551321,13.3614006,Unknown,Unknown,Unknown,Unknown
2018-12-01,Mitte,Erneut Sachbeschädigung am Denkmal für die im NS verfolgten Homosexuellen,"Erneut haben Unbekannte am frühen Morgen das Denkmal für die im Nationalsozialismus verfolgten Homosexuellen im Tiergarten beschädigt, indem sie das Sichtfenster zur Video-Installation mit schwarzer Farbe beschmiert haben.
Der Polizeiliche Staatsschutz beim Landeskriminalamt übernahm die Ermittlungen.
Im Laufe der letzten Jahre war das Mahnmal mehrfach beschädigt worden, zuletzt am 6.10. 2018 und erst am 18.10. waren die beiden Gedenktafeln am Magnus-Hirschfeld-Ufer, ebenfalls in Tiergarten, die an die erste homosexuelle Emanzipationsbewegung erinnern, erneut beschädigt worden.","Polizeimeldung Nr. 2513 vom 01.12.2018, queer.de vom 02.12.2018",No,52.5133,13.3761,Unknown,No,yes,Unknown
2018-10-06,Mitte,Denkmal für die im NS verfolgten Homosexuellen beschädigt,"Das Denkmal für die im Nationalsozialismus verfolgten Homosexuellen im Tiergarten wurde von Unbekannten beschädigt. In die Steinplatte vor dem Sichtfenster des Denkmals wurde „HIV“ eingebrannt.
Der Geschäftsführer des Lesben- und Schwulenverbandes Berlin-Brandenburg hat Anzeige gegen Unbekannt bei der Polizei erstattet.",LSVD Berlin-Brandenburg,No,52.5133,13.3761,Unknown,No,yes,Unknown
2019-11-10,Mitte,Erneute Sachbeschädigung am Denkmal für die im NS verfolgten Homosexuellen,"Das Denkmal für die im Nationalsozialismus verfolgten Homosexuellen in der Ebertstraße Ecke Großer Tiergarten schräg gegenüber dem Holocaust-Mahnmal wurde erneut beschädigt, indem Unbekannte das Sichtfenster des Monuments mit einem Schriftzug beschmierten. 
Dies ist schon die siebte homofeindliche Beschädigung an diesem Denkmal in diesem Jahr. Zuletzt war es erst am 08.09. beschädigt worden, davor schon am 19.08., am 04.08., am 30.06.2019, am 09.06.2019, am 27.01.2019 und im letzten Jahr am 6.10. und am 1.12. 2018.","Polizeimeldung vom 11.11.2019, Queer.de vom 11.11.2019",No,52.5133,13.3761,Unknown,No,yes,Unknown
2019-09-08,Mitte,Erneute Sachbeschädigung am Denkmal für die im NS verfolgten Homosexuellen,"Das Denkmal für die im Nationalsozialismus verfolgten Homosexuellen in der Ebertstraße Ecke Großer Tiergarten schräg gegenüber dem Holocaust-Mahnmal wurde erneut beschädigt, indem Unbekannte das Denkmahl mit schwarzer Farbe beschmierten. Gegen 22.30 Uhr bemerkte ein Mitarbeiter eines Sicherheitsdienstes die Sachbeschädigung und rief die Polizei.
Dies ist schon die sechste Beschädigung an diesem Denkmal in diesem Jahr. Zuletzt war es erst am 19.08. beschädigt worden, davor schon am 04.08., am 30.06.2019, am 09.06.2019, am 27.01.2019 und im letzten Jahr am 6.10. und am 1.12. 2018.","Polizeimeldung vom 09.09.2019, Queer.de vom 09.09.2019",No,52.5133,13.3761,Unknown,No,yes,Unknown
